division_code,district_code,district_name,district_name_bangla,created_by
30,67,Narayangonj,নারায়ণগঞ্জ,admin
10,04,Barguna,বরগুনা,admin
10,06,Barishal,বরিশাল,admin
10,78,Patuakhali,পটুয়াখালী,admin
30,33,Gazipur,গাজীপুর,admin
30,35,Gopalganj,গোপালগঞ্জ,admin
30,59,Munshiganj,মুন্সিগঞ্জ,admin
55,77,Panchagarh,পঞ্চগড়,admin
60,91,Sylhet,সিলেট,admin
60,90,Sunamganj,সুনামগঞ্জ,admin
60,58,Moulvibazar,মৌলভীবাজার,admin
60,36,Habiganj,হবিগঞ্জ,admin
55,32,Gaibandha,গাইবান্ধা,admin
55,85,Rangpur,রংপুর,admin
55,94,Thakurgaon,ঠাকুরগাঁও,admin
55,52,Lalmonirhat,লালমনিরহাট,admin
55,49,Kurigram,কুড়িগ্রাম,admin
55,73,Nilphamari,নীলফামারী,admin
55,27,Dinajpur,দিনাজপুর,admin
50,70,Chapai Nawabganj,চাঁপাই নবাবগঞ্জ,admin
50,10,Bogura,বগুড়া,admin
50,88,Sirajganj,সিরাজগঞ্জ,admin
50,38,Joypurhat,জয়পুরহাট,admin
50,64,Naogaon,নওগাঁ,admin
50,81,Rajshahi,রাজশাহী,admin
50,69,Natore,নাটোর,admin
50,76,Pabna,পাবনা,admin
20,30,Feni,ফেনী,admin
20,12,Brahmanbaria,ব্রাহ্মণবাড়িয়া,admin
20,46,Khagrachari,খাগড়াছড়ি,admin
20,13,Chandpur,চাঁদপুর,admin
20,19,Cumilla,কুমিল্লা,admin
20,15,Chattogram,চট্টগ্রাম,admin
20,75,Noakhali,নোয়াখালী,admin
20,03,Bandarban,বান্দরবান,admin
20,51,Lakshmipur,লক্ষ্মীপুর,admin
20,22,Coxs Bazar,কক্সবাজার,admin
20,84,Rangamati,রাঙামাটি,admin
10,09,Bhola,ভোলা,admin
10,42,Jhalokathi,ঝালকাঠি,admin
10,79,Perojpur,পেরোজপুর,admin
40,47,Khulna,খুলনা,admin
40,57,Meherpur,মেহেরপুর,admin
40,55,Magura,মাগুরা,admin
40,65,Narail,নড়াইল,admin
40,18,Chuadanga,চুয়াডাঙ্গা,admin
40,87,Satkhira,সাতক্ষীরা,admin
40,41,Jashore,যশোর,admin
40,44,Jhenaidah,ঝিনাইদহ,admin
40,50,Kushtia,কুষ্টিয়া,admin
40,01,Bagerhat,বাগেরহাট,admin
30,93,Tangail,টাঙ্গাইল,admin
30,54,Madaripur,মাদারীপুর,admin
45,72,Netrokona,নেত্রকোনা,admin
30,29,Faridpur,ফরিদপুর,admin
30,82,Rajbari,রাজবাড়ী,admin
45,39,Jamalpur,জামালপুর,admin
30,68,Narsingdi,নরসিংদী,admin
45,61,Mymensingh,ময়মনসিংহ,admin
30,48,Kishoreganj,কিশোরগঞ্জ,admin
30,56,Manikganj,মানিকগঞ্জ,admin
30,26,Dhaka,ঢাকা,admin
45,89,Sherpur,শেরপুর,admin
30,86,Shariatpur,শরীয়তপুর,admin
50,40,Motihar,মতিহার,admin